Locus	ProteinID	uniprot_id	Gene	CDS
b0039	NP_414581.1	P60584	caiA	lcl|NC_000913.3_cds_NP_414581.1_39
b0040	NP_414582.1	P31553	caiT	lcl|NC_000913.3_cds_NP_414582.1_40
b0041	NP_414583.2	P60566	fixA	lcl|NC_000913.3_cds_NP_414583.2_41
b0042	NP_414584.1	P31574	fixB	lcl|NC_000913.3_cds_NP_414584.1_42
b0043	NP_414585.1	P68644	fixC	lcl|NC_000913.3_cds_NP_414585.1_43
b0044	NP_414586.1	P68646	fixX	lcl|NC_000913.3_cds_NP_414586.1_44
b0045	NP_414587.1	P31679	yaaU	lcl|NC_000913.3_cds_NP_414587.1_45
b0046	NP_414588.1	P0A754	kefF	lcl|NC_000913.3_cds_NP_414588.1_46
b0047	NP_414589.1	P03819	kefC	lcl|NC_000913.3_cds_NP_414589.1_47
b0048	NP_414590.1	P0ABQ4	folA	lcl|NC_000913.3_cds_NP_414590.1_48
b0049	NP_414591.1	P05637	apaH	lcl|NC_000913.3_cds_NP_414591.1_49
b0050	NP_414592.1	P62672	apaG	lcl|NC_000913.3_cds_NP_414592.1_50
b0051	NP_414593.1	P06992	rsmA	lcl|NC_000913.3_cds_NP_414593.1_51
b0052	NP_414594.1	P19624	pdxA	lcl|NC_000913.3_cds_NP_414594.1_52
b0053	NP_414595.1	P0ABZ6	surA	lcl|NC_000913.3_cds_NP_414595.1_53
b0054	NP_414596.1	P31554	lptD	lcl|NC_000913.3_cds_NP_414596.1_54
b0055	NP_414597.1	P31680	djlA	lcl|NC_000913.3_cds_NP_414597.1_55
b0056	YP_009518734.1	P39220	yabP	lcl|NC_000913.3_cds_YP_009518734.1_56
b0057	YP_009518735.1	P39221	yabQ	lcl|NC_000913.3_cds_YP_009518735.1_57
b0058	NP_414600.1	P0AA37	rluA	lcl|NC_000913.3_cds_NP_414600.1_58
b0059	NP_414601.1	P60240	rapA	lcl|NC_000913.3_cds_NP_414601.1_59
b0060	NP_414602.1	P21189	polB	lcl|NC_000913.3_cds_NP_414602.1_60
b0061	NP_414603.1	P08203	araD	lcl|NC_000913.3_cds_NP_414603.1_61
b0062	NP_414604.1	P08202	araA	lcl|NC_000913.3_cds_NP_414604.1_62
b0063	NP_414605.1	P08204	araB	lcl|NC_000913.3_cds_NP_414605.1_63
b0064	NP_414606.1	P0A9E0	araC	lcl|NC_000913.3_cds_NP_414606.1_64
b0065	NP_414607.1	P30149	yabI	lcl|NC_000913.3_cds_NP_414607.1_65
b0066	NP_414608.1	P31548	thiQ	lcl|NC_000913.3_cds_NP_414608.1_66
b0067	NP_414609.1	P31549	thiP	lcl|NC_000913.3_cds_NP_414609.1_67
b0068	NP_414610.1	P31550	thiB	lcl|NC_000913.3_cds_NP_414610.1_68
b0069	NP_414611.1	P33595	sgrR	lcl|NC_000913.3_cds_NP_414611.1_69
b4662	YP_002791237.1	C1P5Z7	sgrT	lcl|NC_000913.3_cds_YP_002791237.1_70
b0070	YP_025293.1	P31675	setA	lcl|NC_000913.3_cds_YP_025293.1_71
b0071	NP_414613.1	P30126	leuD	lcl|NC_000913.3_cds_NP_414613.1_72
b0072	NP_414614.1	P0A6A6	leuC	lcl|NC_000913.3_cds_NP_414614.1_73
b0073	NP_414615.4	P30125	leuB	lcl|NC_000913.3_cds_NP_414615.4_74
b0074	NP_414616.1	P09151	leuA	lcl|NC_000913.3_cds_NP_414616.1_75
b0075	NP_414617.1	P0AD79	leuL	lcl|NC_000913.3_cds_NP_414617.1_76
b0076	NP_414618.4	P10151	leuO	lcl|NC_000913.3_cds_NP_414618.4_77
b4726	YP_009518736.1	P0DPM5	yabR	lcl|NC_000913.3_cds_YP_009518736.1_78
b0077	YP_025294.2	P00893	ilvI	lcl|NC_000913.3_cds_YP_025294.2_79
b0078	NP_414620.1	P00894	ilvH	lcl|NC_000913.3_cds_NP_414620.1_80
b0080	NP_414622.1	P0ACP1	cra	lcl|NC_000913.3_cds_NP_414622.1_81
b0081	NP_414623.1	P22186	mraZ	lcl|NC_000913.3_cds_NP_414623.1_82
b0082	NP_414624.1	P60390	rsmH	lcl|NC_000913.3_cds_NP_414624.1_83
b0083	NP_414625.1	P0AEN4	ftsL	lcl|NC_000913.3_cds_NP_414625.1_84
b0084	NP_414626.1	P0AD68	ftsI	lcl|NC_000913.3_cds_NP_414626.1_85
b0085	NP_414627.1	P22188	murE	lcl|NC_000913.3_cds_NP_414627.1_86
b0086	NP_414628.1	P11880	murF	lcl|NC_000913.3_cds_NP_414628.1_87
b0087	NP_414629.1	P0A6W3	mraY	lcl|NC_000913.3_cds_NP_414629.1_88
b0088	NP_414630.1	P14900	murD	lcl|NC_000913.3_cds_NP_414630.1_89
b0089	NP_414631.1	P0ABG4	ftsW	lcl|NC_000913.3_cds_NP_414631.1_90
b0090	NP_414632.1	P17443	murG	lcl|NC_000913.3_cds_NP_414632.1_91
b0091	NP_414633.1	P17952	murC	lcl|NC_000913.3_cds_NP_414633.1_92
b0092	NP_414634.1	P07862	ddlB	lcl|NC_000913.3_cds_NP_414634.1_93
b0093	NP_414635.1	P06136	ftsQ	lcl|NC_000913.3_cds_NP_414635.1_94
b0094	NP_414636.1	P0ABH0	ftsA	lcl|NC_000913.3_cds_NP_414636.1_95
b0095	NP_414637.1	P0A9A6	ftsZ	lcl|NC_000913.3_cds_NP_414637.1_96
b0096	NP_414638.1	P0A725	lpxC	lcl|NC_000913.3_cds_NP_414638.1_97
b0097	NP_414639.2	P62395	secM	lcl|NC_000913.3_cds_NP_414639.2_98
b0098	NP_414640.1	P10408	secA	lcl|NC_000913.3_cds_NP_414640.1_99
b0099	NP_414641.1	P08337	mutT	lcl|NC_000913.3_cds_NP_414641.1_100
b0101	NP_414643.1	P0A8H8	yacG	lcl|NC_000913.3_cds_NP_414643.1_101
b0102	NP_414644.1	P36680	zapD	lcl|NC_000913.3_cds_NP_414644.1_102
b0103	NP_414645.1	P0A6I9	coaE	lcl|NC_000913.3_cds_NP_414645.1_103
b4727	YP_009518737.1	P0DPM6	yacM	lcl|NC_000913.3_cds_YP_009518737.1_104
b0104	NP_414646.1	P60560	guaC	lcl|NC_000913.3_cds_NP_414646.1_105
b0106	NP_414648.1	P36646	hofC	lcl|NC_000913.3_cds_NP_414648.1_106
b0107	NP_414649.1	P36645	hofB	lcl|NC_000913.3_cds_NP_414649.1_107
b0108	NP_414650.1	P36647	ppdD	lcl|NC_000913.3_cds_NP_414650.1_108
b0109	NP_414651.1	P30011	nadC	lcl|NC_000913.3_cds_NP_414651.1_109
b0110	NP_414652.1	P13016	ampD	lcl|NC_000913.3_cds_NP_414652.1_110
b0111	NP_414653.1	P0AE14	ampE	lcl|NC_000913.3_cds_NP_414653.1_111
b0112	NP_414654.1	P15993	aroP	lcl|NC_000913.3_cds_NP_414654.1_112
b0113	NP_414655.1	P0ACL9	pdhR	lcl|NC_000913.3_cds_NP_414655.1_113
b0114	NP_414656.1	P0AFG8	aceE	lcl|NC_000913.3_cds_NP_414656.1_114
b0115	NP_414657.1	P06959	aceF	lcl|NC_000913.3_cds_NP_414657.1_115
b0116	NP_414658.1	P0A9P0	lpd	lcl|NC_000913.3_cds_NP_414658.1_116
b0117	NP_414659.1	P36682	yacH	lcl|NC_000913.3_cds_NP_414659.1_117
b0118	NP_414660.1	P36683	acnB	lcl|NC_000913.3_cds_NP_414660.1_118
b0119	NP_414661.2	P0A8E5	yacL	lcl|NC_000913.3_cds_NP_414661.2_119
b0120	NP_414662.1	P0A7F6	speD	lcl|NC_000913.3_cds_NP_414662.1_120
b0121	NP_414663.1	P09158	speE	lcl|NC_000913.3_cds_NP_414663.1_121
b0122	NP_414664.4	P0AA95	yacC	lcl|NC_000913.3_cds_NP_414664.4_122
b0123	NP_414665.1	P36649	cueO	lcl|NC_000913.3_cds_NP_414665.1_123
b0124	NP_414666.1	P15877	gcd	lcl|NC_000913.3_cds_NP_414666.1_124
b0125	NP_414667.4	P0A9M2	hpt	lcl|NC_000913.3_cds_NP_414667.4_125
b0126	NP_414668.1	P61517	can	lcl|NC_000913.3_cds_NP_414668.1_126
b0127	NP_414669.1	P36879	yadG	lcl|NC_000913.3_cds_NP_414669.1_127
b0128	NP_414670.1	P0AFN6	yadH	lcl|NC_000913.3_cds_NP_414670.1_128
b0129	NP_414671.1	P36881	yadI	lcl|NC_000913.3_cds_NP_414671.1_129
b0130	NP_414672.1	P31666	yadE	lcl|NC_000913.3_cds_NP_414672.1_130
b0131	NP_414673.1	P0A790	panD	lcl|NC_000913.3_cds_NP_414673.1_131
b0132	NP_414674.1	P31665	rpnC	lcl|NC_000913.3_cds_NP_414674.1_132
b0133	NP_414675.1	P31663	panC	lcl|NC_000913.3_cds_NP_414675.1_133
b0134	NP_414676.1	P31057	panB	lcl|NC_000913.3_cds_NP_414676.1_134
b0135	NP_414677.1	P31058	yadC	lcl|NC_000913.3_cds_NP_414677.1_135
b0136	NP_414678.1	P37016	yadK	lcl|NC_000913.3_cds_NP_414678.1_136
b0137	NP_414679.1	P37017	yadL	lcl|NC_000913.3_cds_NP_414679.1_137
b0138	NP_414680.4	P37018	yadM	lcl|NC_000913.3_cds_NP_414680.4_138
b0139	NP_414681.1	P33129	htrE	lcl|NC_000913.3_cds_NP_414681.1_139
b0140	NP_414682.1	P33128	yadV	lcl|NC_000913.3_cds_NP_414682.1_140
b0141	NP_414683.1	P37050	yadN	lcl|NC_000913.3_cds_NP_414683.1_141
b0142	NP_414684.1	P26281	folK	lcl|NC_000913.3_cds_NP_414684.1_142
b0143	NP_414685.4	P0ABF1	pcnB	lcl|NC_000913.3_cds_NP_414685.4_143
b0144	NP_414686.3	P27305	gluQ	lcl|NC_000913.3_cds_NP_414686.3_144
b0145	NP_414687.1	P0ABS1	dksA	lcl|NC_000913.3_cds_NP_414687.1_145
b0146	NP_414688.1	P0A823	sfsA	lcl|NC_000913.3_cds_NP_414688.1_146
b0147	NP_414689.4	P37025	thpR	lcl|NC_000913.3_cds_NP_414689.4_147
b0148	NP_414690.4	P37024	hrpB	lcl|NC_000913.3_cds_NP_414690.4_148
b0149	NP_414691.1	NA	mrcB	lcl|NC_000913.3_cds_NP_414691.1_149
b0149	YP_010051172.1	NA	mrcB	lcl|NC_000913.3_cds_YP_010051172.1_150
b0150	NP_414692.1	P06971	fhuA	lcl|NC_000913.3_cds_NP_414692.1_151
b0151	NP_414693.1	P07821	fhuC	lcl|NC_000913.3_cds_NP_414693.1_152
b0152	NP_414694.1	P07822	fhuD	lcl|NC_000913.3_cds_NP_414694.1_153
b0153	NP_414695.1	P06972	fhuB	lcl|NC_000913.3_cds_NP_414695.1_154
b0154	NP_414696.1	P23893	hemL	lcl|NC_000913.3_cds_NP_414696.1_155
b4765	YP_010051173.1	P0DSE3	yadX	lcl|NC_000913.3_cds_YP_010051173.1_156
b0155	NP_414697.1	P37019	clcA	lcl|NC_000913.3_cds_NP_414697.1_157
b4728	YP_009518738.1	P0DPM7	yadW	lcl|NC_000913.3_cds_YP_009518738.1_158
b0156	NP_414698.1	P0ACC3	erpA	lcl|NC_000913.3_cds_NP_414698.1_159
b0157	NP_414699.1	P0AFP0	yadS	lcl|NC_000913.3_cds_NP_414699.1_160
b0158	NP_414700.1	P37028	btuF	lcl|NC_000913.3_cds_NP_414700.1_161
b0159	NP_414701.1	P0AF12	mtn	lcl|NC_000913.3_cds_NP_414701.1_162
b0160	NP_414702.1	P15723	dgt	lcl|NC_000913.3_cds_NP_414702.1_163
b0161	NP_414703.1	P0C0V0	degP	lcl|NC_000913.3_cds_NP_414703.1_164
b0162	NP_414704.4	P37047	cdaR	lcl|NC_000913.3_cds_NP_414704.4_165
b0163	NP_414705.1	P62768	yaeH	lcl|NC_000913.3_cds_NP_414705.1_166
b0164	NP_414706.2	P37049	yaeI	lcl|NC_000913.3_cds_NP_414706.2_167
b0166	NP_414708.1	P0A9D8	dapD	lcl|NC_000913.3_cds_NP_414708.1_168
b0167	NP_414709.1	P27249	glnD	lcl|NC_000913.3_cds_NP_414709.1_169
b0168	NP_414710.1	P0AE18	map	lcl|NC_000913.3_cds_NP_414710.1_170
b0169	NP_414711.1	P0A7V0	rpsB	lcl|NC_000913.3_cds_NP_414711.1_171
b0170	NP_414712.1	P0A6P1	tsf	lcl|NC_000913.3_cds_NP_414712.1_172
b0171	NP_414713.1	P0A7E9	pyrH	lcl|NC_000913.3_cds_NP_414713.1_173
b0172	NP_414714.1	P0A805	frr	lcl|NC_000913.3_cds_NP_414714.1_174
b0173	NP_414715.1	P45568	dxr	lcl|NC_000913.3_cds_NP_414715.1_175
b0174	NP_414716.1	P60472	ispU	lcl|NC_000913.3_cds_NP_414716.1_176
b0175	NP_414717.2	P0ABG1	cdsA	lcl|NC_000913.3_cds_NP_414717.2_177
b0176	NP_414718.1	P0AEH1	rseP	lcl|NC_000913.3_cds_NP_414718.1_178
b0177	NP_414719.1	P0A940	bamA	lcl|NC_000913.3_cds_NP_414719.1_179
b0178	NP_414720.1	P0AEU7	skp	lcl|NC_000913.3_cds_NP_414720.1_180
b0179	NP_414721.1	P21645	lpxD	lcl|NC_000913.3_cds_NP_414721.1_181
b0180	NP_414722.1	P0A6Q6	fabZ	lcl|NC_000913.3_cds_NP_414722.1_182
b0181	NP_414723.1	P0A722	lpxA	lcl|NC_000913.3_cds_NP_414723.1_183
b0182	NP_414724.1	P10441	lpxB	lcl|NC_000913.3_cds_NP_414724.1_184
b0183	NP_414725.1	P10442	rnhB	lcl|NC_000913.3_cds_NP_414725.1_185
b0184	NP_414726.1	P10443	dnaE	lcl|NC_000913.3_cds_NP_414726.1_186
b0185	NP_414727.1	P0ABD5	accA	lcl|NC_000913.3_cds_NP_414727.1_187
b0186	NP_414728.1	P52095	ldcC	lcl|NC_000913.3_cds_NP_414728.1_188
b0187	NP_414729.4	P52096	yaeR	lcl|NC_000913.3_cds_NP_414729.4_189
b0188	NP_414730.1	P52097	tilS	lcl|NC_000913.3_cds_NP_414730.1_190
b0189	NP_414731.2	P0AFW8	rof	lcl|NC_000913.3_cds_NP_414731.2_191
b4406	YP_026160.1	P0A8K5	yaeP	lcl|NC_000913.3_cds_YP_026160.1_192
b0190	NP_414732.1	P0AA97	yaeQ	lcl|NC_000913.3_cds_NP_414732.1_193
b0191	NP_414733.1	P40711	arfB	lcl|NC_000913.3_cds_NP_414733.1_194
b0192	NP_414734.1	P40710	nlpE	lcl|NC_000913.3_cds_NP_414734.1_195
b0193	NP_414735.4	P37056	yaeF	lcl|NC_000913.3_cds_NP_414735.4_196
b0194	NP_414736.1	P16659	proS	lcl|NC_000913.3_cds_NP_414736.1_197
b0195	NP_414737.1	P28634	trmO	lcl|NC_000913.3_cds_NP_414737.1_198
b0196	NP_414738.1	P69411	rcsF	lcl|NC_000913.3_cds_NP_414738.1_199
b0197	NP_414739.1	P28635	metQ	lcl|NC_000913.3_cds_NP_414739.1_200
b0198	NP_414740.1	P31547	metI	lcl|NC_000913.3_cds_NP_414740.1_201
b0199	NP_414741.1	P30750	metN	lcl|NC_000913.3_cds_NP_414741.1_202
b0200	NP_414742.1	P63228	gmhB	lcl|NC_000913.3_cds_NP_414742.1_203
b0207	NP_414743.1	P30863	dkgB	lcl|NC_000913.3_cds_NP_414743.1_204
b0208	NP_414744.1	P30864	yafC	lcl|NC_000913.3_cds_NP_414744.1_205
b0209	NP_414745.1	P0A8U2	yafD	lcl|NC_000913.3_cds_NP_414745.1_206
b0210	NP_414746.1	P30866	yafE	lcl|NC_000913.3_cds_NP_414746.1_207
b0211	NP_414747.1	P0AEZ7	mltD	lcl|NC_000913.3_cds_NP_414747.1_208
b0212	NP_414748.1	P0AC84	gloB	lcl|NC_000913.3_cds_NP_414748.1_209
b4815	YP_010283908.1	P0DUW0	ykfO	lcl|NC_000913.3_cds_YP_010283908.1_210
b0213	NP_414749.2	P75672	yafS	lcl|NC_000913.3_cds_NP_414749.2_211
b0214	NP_414750.1	P0A7Y4	rnhA	lcl|NC_000913.3_cds_NP_414750.1_212
b0215	NP_414751.1	P03007	dnaQ	lcl|NC_000913.3_cds_NP_414751.1_213
b0217	NP_414752.1	P77339	yafT	lcl|NC_000913.3_cds_NP_414752.1_214
b4586	YP_001165307.1	A5A605	ykfM	lcl|NC_000913.3_cds_YP_001165307.1_215
b0219	NP_414754.1	Q47679	yafV	lcl|NC_000913.3_cds_NP_414754.1_216
b0220	NP_414755.1	P0AD59	ivy	lcl|NC_000913.3_cds_NP_414755.1_217
b0221	NP_414756.2	Q47146	fadE	lcl|NC_000913.3_cds_NP_414756.2_218
b0222	NP_414757.1	P63224	gmhA	lcl|NC_000913.3_cds_NP_414757.1_219
b0223	NP_414758.1	Q47147	yafJ	lcl|NC_000913.3_cds_NP_414758.1_220
b0224	NP_414759.1	P0AA99	dpaA	lcl|NC_000913.3_cds_NP_414759.1_221
b0225	NP_414760.1	Q47149	yafQ	lcl|NC_000913.3_cds_NP_414760.1_222
b0226	NP_414761.1	Q47150	dinJ	lcl|NC_000913.3_cds_NP_414761.1_223
b0227	NP_414762.1	Q47151	yafL	lcl|NC_000913.3_cds_NP_414762.1_224
b0228	NP_414763.1	Q47152	rayT	lcl|NC_000913.3_cds_NP_414763.1_225
b0231	NP_414766.1	Q47155	dinB	lcl|NC_000913.3_cds_NP_414766.1_226
b0232	NP_414767.1	Q47156	yafN	lcl|NC_000913.3_cds_NP_414767.1_227
b0233	NP_414768.1	Q47157	yafO	lcl|NC_000913.3_cds_NP_414768.1_228
b0234	NP_414769.1	Q47158	yafP	lcl|NC_000913.3_cds_NP_414769.1_229
b0237	NP_414772.1	P15288	pepD	lcl|NC_000913.3_cds_NP_414772.1_230
b0238	NP_414773.1	P0A9M5	gpt	lcl|NC_000913.3_cds_NP_414773.1_231
b0239	NP_414774.1	P04335	frsA	lcl|NC_000913.3_cds_NP_414774.1_232
b0240	NA	NA	crl	NA
b4710	YP_009518739.1	NA	insB9	lcl|NC_000913.3_cds_YP_009518739.1_234
b4709	YP_009518740.1	NA	insA9	lcl|NC_000913.3_cds_YP_009518740.1_235
b0241	NP_414776.1	P02932	phoE	lcl|NC_000913.3_cds_NP_414776.1_236
b0242	NP_414777.1	P0A7B5	proB	lcl|NC_000913.3_cds_NP_414777.1_237
b0243	NP_414778.1	P07004	proA	lcl|NC_000913.3_cds_NP_414778.1_238
b0245	NP_414779.1	P77692	ykfI	lcl|NC_000913.3_cds_NP_414779.1_239
b0246	NP_414780.1	Q47684	yafW	lcl|NC_000913.3_cds_NP_414780.1_240
b4504	YP_588435.1	Q9XB42	ykfH	lcl|NC_000913.3_cds_YP_588435.1_241
b0247	NP_414781.1	Q47685	ykfG	lcl|NC_000913.3_cds_NP_414781.1_242
b0248	NP_414782.1	P75676	yafX	lcl|NC_000913.3_cds_NP_414782.1_243
b0249	NP_414783.1	P75677	ykfF	lcl|NC_000913.3_cds_NP_414783.1_244
b0250	NP_414784.1	P77162	ykfB	lcl|NC_000913.3_cds_NP_414784.1_245
b0251	NP_414785.4	P77365	yafY	lcl|NC_000913.3_cds_NP_414785.4_246
b0252	NP_414786.4	P77206	yafZ	lcl|NC_000913.3_cds_NP_414786.4_247
b0253	NP_414787.4	P75678	ykfA	lcl|NC_000913.3_cds_NP_414787.4_248
b0254	NP_414788.1	Q57083	perR	lcl|NC_000913.3_cds_NP_414788.1_249
b4587	NA	NA	insN	NA
b0256	NP_414790.1	P0CF88	insI1	lcl|NC_000913.3_cds_NP_414790.1_251
b0258	YP_009518741.1	Q47688	ykfC	lcl|NC_000913.3_cds_YP_009518741.1_252
b0259	NP_414793.2	P0CE49	insH1	lcl|NC_000913.3_cds_NP_414793.2_253
b0260	NP_414794.4	Q47689	mmuP	lcl|NC_000913.3_cds_NP_414794.4_254
b0261	NP_414795.1	Q47690	mmuM	lcl|NC_000913.3_cds_NP_414795.1_255
b0262	NP_414796.2	P37009	afuC	lcl|NC_000913.3_cds_NP_414796.2_256
b0264	NP_414798.1	P0CF26	insB2	lcl|NC_000913.3_cds_NP_414798.1_257
b0265	NP_414799.1	P0CF08	insA2	lcl|NC_000913.3_cds_NP_414799.1_258
b0266	YP_009518742.1	P37008	yagB	lcl|NC_000913.3_cds_YP_009518742.1_259
b0267	NP_414801.1	P37007	yagA	lcl|NC_000913.3_cds_NP_414801.1_260
b0268	NP_414802.2	P75682	yagE	lcl|NC_000913.3_cds_NP_414802.2_261
b0269	NP_414803.1	P77596	yagF	lcl|NC_000913.3_cds_NP_414803.1_262
b0270	NP_414804.1	P75683	yagG	lcl|NC_000913.3_cds_NP_414804.1_263
b0271	NP_414805.1	P77713	yagH	lcl|NC_000913.3_cds_NP_414805.1_264
b0272	NP_414806.1	P77300	xynR	lcl|NC_000913.3_cds_NP_414806.1_265
b0273	NP_414807.1	P06960	argF	lcl|NC_000913.3_cds_NP_414807.1_266
b4766	YP_010051174.1	P0DSE4	argL	lcl|NC_000913.3_cds_YP_010051174.1_267
b4688	YP_009518743.1	P0DPM8	ykgS	lcl|NC_000913.3_cds_YP_009518743.1_268
b0274	NP_414808.1	P0CF27	insB3	lcl|NC_000913.3_cds_NP_414808.1_269
b0275	NP_414809.1	P0CF09	insA3	lcl|NC_000913.3_cds_NP_414809.1_270
b0276	YP_009518744.1	P77169	yagJ	lcl|NC_000913.3_cds_YP_009518744.1_271
b0277	NP_414811.1	P77657	yagK	lcl|NC_000913.3_cds_NP_414811.1_272
b0278	NP_414812.1	P77607	yagL	lcl|NC_000913.3_cds_NP_414812.1_273
b0279	NP_414813.1	P71296	yagM	lcl|NC_000913.3_cds_NP_414813.1_274
b4729	YP_009518745.1	P0DPM9	ykgV	lcl|NC_000913.3_cds_YP_009518745.1_275
b0280	NP_414814.1	P71297	yagN	lcl|NC_000913.3_cds_NP_414814.1_276
b0281	NP_414815.1	P71298	intF	lcl|NC_000913.3_cds_NP_414815.1_277
b0282	YP_009518746.1	P75684	yagP	lcl|NC_000913.3_cds_YP_009518746.1_278
b0283	NP_414817.1	P77183	paoD	lcl|NC_000913.3_cds_NP_414817.1_279
b0284	NP_414818.1	P77489	paoC	lcl|NC_000913.3_cds_NP_414818.1_280
b0285	NP_414819.1	P77324	paoB	lcl|NC_000913.3_cds_NP_414819.1_281
b0286	NP_414820.1	P77165	paoA	lcl|NC_000913.3_cds_NP_414820.1_282
b0287	NP_414821.1	P0AAA1	yagU	lcl|NC_000913.3_cds_NP_414821.1_283
b0288	NP_414822.1	P0AAL9	ykgJ	lcl|NC_000913.3_cds_NP_414822.1_284
b0289	NP_414823.2	P77263	ecpE	lcl|NC_000913.3_cds_NP_414823.2_285
b0290	NP_414824.1	P77694	ecpD	lcl|NC_000913.3_cds_NP_414824.1_286
b0291	NP_414825.1	P77802	ecpC	lcl|NC_000913.3_cds_NP_414825.1_287
b0292	NP_414826.1	P77188	ecpB	lcl|NC_000913.3_cds_NP_414826.1_288
b0293	NP_414827.1	P0AAA3	ecpA	lcl|NC_000913.3_cds_NP_414827.1_289
b0294	NP_414828.1	P71301	matA	lcl|NC_000913.3_cds_NP_414828.1_290
b0295	NP_414829.1	P56257	ykgL	lcl|NC_000913.3_cds_NP_414829.1_291
b4506	YP_588437.1	Q2EEQ2	ykgO	lcl|NC_000913.3_cds_YP_588437.1_292
b0296	NP_414830.1	P0A7N1	ykgM	lcl|NC_000913.3_cds_NP_414830.1_293
b4671	YP_002791238.1	C1P5Z8	ykgR	lcl|NC_000913.3_cds_YP_002791238.1_294
b0298	NP_414832.2	P0CF66	insE1	lcl|NC_000913.3_cds_NP_414832.2_295
b0299	NP_414833.1	P0CF79	insF1	lcl|NC_000913.3_cds_NP_414833.1_296
b0301	NP_414835.2	P75685	rclC	lcl|NC_000913.3_cds_NP_414835.2_297
b0303	NP_414837.2	P75687	rclB	lcl|NC_000913.3_cds_NP_414837.2_298
b0304	NP_414838.2	P77212	rclA	lcl|NC_000913.3_cds_NP_414838.2_299
b0305	NP_414839.1	P77379	rclR	lcl|NC_000913.3_cds_NP_414839.1_300
b0306	NP_414840.1	P77252	ykgE	lcl|NC_000913.3_cds_NP_414840.1_301
b0307	NP_414841.1	P77536	ykgF	lcl|NC_000913.3_cds_NP_414841.1_302
